Joyful
Cheerful
Content
Proud
Satisfied
Excited
Amused
Elated
Enthusiastic
Optimistic
Elated
Delighted
Calm
Relaxed
Relieved
Hopeful
Pleased
Confident
Brave
Comfortable
Safe
Happy
Love
Lust
Aroused
Tender
Compassionate
Caring
Infatuated
Concern
Trust
Liking
Attraction
Tenderness
Sympathy
Adoration
Fondness
Receptive
Interested
Delighted
Shocked
Exhilarated
Dismayed
Amazed
Confused
Stunned
Interested
Intrigued
Absorbed
Curious
Anticipating
Eager
Hesitant
Fearful
Anxious
Worried
Scared
Insecure
Rejected
Horrified
Alarmed
Shocked
Panicked
Afraid
Nervous
Disoriented
Helpless
Powerless
Dreading
Distrusting
Suspicious
Cautious
Disturbed
Overwhelmed
Uncomfortable
Guilty
Hurt
Lonely
Melancholy
Depressed
Hopeless
Sad
Guilty
Hurt
Lonely
Regretful
Depressed
Hopeless
Sorrow
Uncertain
Anguished
Disappointed
Self conscious
Shamed
Embarrassed
Humiliated
Disgraced
Uncomfortable
Neglected
Defeated
Bored
Rejected
Disillusioned
Inferior
Confused
Grief-stricken
Helpless
Isolated
Numb
Regretful
Ambivalent
Exhausted
Insecure
Disgusted
Pity
Revulsion
Contempt
Weary
Bored
Preoccupied
Angry
Jealous
Envious
Annoyed
Humiliated
Irritated
Aggravated
Restless
Grumpy
Awkward
Exasperated
Frustrated
Rageful
Outraged
Hostile
Bitter
Hateful
Scornful
Spiteful
Vengeful
Disliked
Resentful
Trusting
Alienated
Bitter
Insulted
Indifferent

















